4748512	4748534	0
4609189	4609191	0
4702756	4702793	0
4764986	4764995	0
15711545	15711549	0
4917404	4917405	0
7119730	7119736	0
4841125	4841179	0
4810941	4810976	0
4707085	4707089	0
4785973	4786020	0
12532242	12532243	0
4898381	4899091	0.46875
4584786	4584904	0.21875
7084596	7084612	0
4571041	4571104	0
15149869	15149877	0
15673794	15673801	0
4615283	4615421	0.0
4622532	4622565	0
4826984	4827072	0
4641492	4641542	0
4827407	4827538	0
15701843	15701845	0
4589117	4589151	0
4762428	4762449	0
7120790	7120816	0
12469765	12469784	0
4755130	4755167	0
4865039	4865480	0.21875
4886532	4886563	0
4823600	4823764	0.0
4623423	4623477	0
7990832	7990861	0
4800382	4800409	0.0
7092363	7092421	0.46875
4658674	4659215	0
4820912	4821352	0
15732064	15732075	0
12542481	12542627	0.375
15732146	15732159	0
15673150	15673156	0
7158258	7158268	0
15724883	15725362	0.59375
7071784	7072216	1.3125
4574890	4574986	0
12515701	12515708	0
4776510	4776552	0
7169645	7169680	0
8004949	8004963	0
7099053	7099057	0
4553882	4554213	0
12504660	12504678	0
4764996	4765475	1.3125
15707640	15707658	0
4570648	4570955	0.875
12519651	12519748	0
4680453	4680681	0.0
12501608	12501719	0
7111436	7111437	0.5
7163285	7163474	0
15693321	15693352	0.0
12484822	12484858	0
4680301	4680309	0
4629363	4629528	0
12519207	12519212	0
4666137	4666235	0.375
15712031	15712119	0
4513120	4513122	0
15697358	15697425	0
4902835	4902870	0
12473112	12473116	0
7070744	7070746	0
12511777	12511896	0.4375
4543781	4544281	0.21875
12498430	12498449	0
4518228	4518315	0
12531941	12532160	0.375
4514399	4514489	0
4723920	4723973	0
7134713	7134759	0
4533196	4533237	0
4633200	4633217	0
4826793	4826817	0
4540207	4540386	0
15705111	15705163	0
4631783	4631853	0
7081226	7081298	0
15134252	15134347	0.21875
15683347	15683402	0
4834303	4834389	0
4812080	4812625	0.4375
4657091	4657103	0
4658022	4658034	0
15745470	15745472	0
7159375	7159380	0
15145212	15145239	0
7146216	7146250	0
4688138	4688143	0
4884362	4884731	0
15727307	15727310	0
4654132	4654181	0
4657491	4657527	0
15147170	15147867	0.21875
7086298	7086927	1.40625
4817665	4818037	0.4375
15686995	15687005	0
7140866	7140894	0
7130356	7130369	0
12515544	12515567	0
12529410	12529421	0
12516233	12516235	0
4687909	4687912	0
4700240	4700249	0
4803958	4803964	0
4695167	4695189	0
7090390	7090420	0
12504225	12504268	0.46875
4921004	4921058	0
4805252	4805253	0
4859220	4859487	0
4837542	4837805	0
4577036	4577049	0
4766218	4766252	0
7075949	7076048	0.21875
7131845	7132179	0.9375
7089195	7089312	1.625
7161798	7161913	0
15701344	15701360	0
4602397	4602496	0
15700203	15700270	0
12471273	12471346	0
15724564	15724655	0
12485419	12485420	0
7174931	7174943	0
4752405	4752501	0.46875
7984235	7984398	0
4598287	4598323	0.0
15727189	15727192	0
15692715	15692935	0
12518456	12518460	0
7067248	7067305	0.0
15140736	15140973	0
4798018	4798240	0.65625
4885424	4885536	0.21875
15741688	15742125	0.0
15737773	15737812	0
7124741	7124872	0.46875
4578662	4578810	0
7168898	7168905	0
7099069	7099102	0.46875
4747879	4747885	0.46875
4825098	4825100	0
4540970	4540978	0
15727577	15727578	0
7131478	7131497	0
7140768	7140801	0
4653840	4653904	0.21875
4546907	4546930	0
4843541	4843586	0
12507137	12507304	0
7153841	7153849	0
12484750	12484756	0
15672176	15672184	0
4766918	4767344	1.15625
4626275	4626286	0
4564858	4564895	0
4591390	4591585	0.0
4843154	4843490	1.375
4791790	4791812	0
4814468	4814481	0
4579837	4580096	0.21875
15700280	15700292	0
15146123	15146644	0.21875
4809681	4809721	0
7126751	7127219	0.9375
12499997	12500010	0
7070450	7070451	0
4750649	4751030	1.15625
4888467	4889323	0.875
4782089	4782106	0.375
4863439	4863451	0
4546654	4546906	0
14447513	14447550	0
4792814	4792912	0
4671210	4671306	0
15711452	15711456	0
4536107	4536278	0
7138066	7138714	0.65625
12487826	12487830	0
4633516	4633853	0.0
12470746	12470835	0
4535584	4535932	0.0
4527769	4527984	0
4615423	4615605	0
4514631	4514688	0.6875
4797853	4797992	0
4591618	4592232	0.0
15707205	15707531	1.5
4606945	4607406	0.0
4546621	4546645	0
4725418	4725720	0
12472624	12472635	0
4677650	4677791	0
4751031	4751099	0.9375
7146253	7146260	0
4626589	4626863	0.0
4863523	4863630	0
7140933	7141182	0.375
12533260	12533282	0.21875
4807204	4807224	0
4554748	4554769	0
7070887	7070945	0
12477459	12477552	0
4700581	4700878	0.0
15742291	15742329	0.0
7075016	7075069	0
4666493	4666648	0.0
12533137	12533252	0
7132393	7132448	0
4567229	4567677	0.21875
4688116	4688131	0
15726174	15726307	0
15704847	15705109	0.375
4594356	4594727	0.0
4603524	4603632	0
12473705	12473732	0
7137285	7137307	0.0
7173168	7173817	1.96875
4864861	4864868	0
15681028	15681065	0
15717635	15717733	0
4702405	4702409	0
4622311	4622400	0
12484866	12484880	0
12478610	12478673	0
4666837	4666851	0
4816910	4817050	0.0
12480515	12480602	0
4693791	4694364	0.0
4807266	4807312	0
7074716	7075007	0.0
4825255	4825298	0
4768613	4768655	0
4719431	4719946	0
4547180	4547229	0
4636364	4636695	0
4704631	4704633	0
4725221	4725324	0
4754140	4754172	0
7120880	7121378	0.0
7075317	7075528	0
4751328	4751404	0
4676641	4676646	0
4902159	4902410	0
4638294	4638429	0.46875
4701210	4701382	0
4630181	4630670	1.09375
15715759	15716151	0.375
4556812	4557272	0.375
12521313	12521317	0
7994607	7994662	0
4661324	4661424	0
4565053	4565434	0.75
12492066	12492530	0.71875
4798620	4798877	0.21875
4534439	4534616	0
4747824	4747874	0.46875
4652469	4652499	0
4774937	4774944	0
7997805	7998295	0
4602497	4603209	0.0
12504374	12504445	0
12500646	12500780	0
4721716	4721988	0.375
12486110	12486183	0
8005356	8005379	0
15698685	15698737	0
12533500	12533956	0.4375
4679940	4679987	0
15723977	15723989	0.0
15130876	15131319	0.46875
4895820	4895852	0
4694469	4694482	0
4582590	4582608	0
4877928	4877959	0
7088000	7088004	0
4548829	4548878	0
12521070	12521103	0
7980644	7980767	0.21875
4680168	4680176	0
7985675	7985677	0
4838632	4838745	0.21875
12480348	12480512	0
7121383	7121401	0
7093170	7093222	0.21875
4863777	4863815	0
7083410	7084565	4.21875
15140357	15140441	0.375
4538955	4539018	0
4905557	4905781	0
7124322	7124370	0
7092429	7092889	1.125
12495163	12495289	0
12484215	12484227	0
8006078	8006169	0.375
7120526	7120776	0.4375
7118805	7118808	0
4557279	4557281	0
4772513	4772536	0
4514737	4514739	0
4686326	4686327	0.0
4545578	4545585	0
12485950	12485961	0
4632529	4633044	0
7141238	7141390	0
